State,Scheme / Program,Type,Benefit / Coverage,Notes,Where to Apply
Uttarakhand,Developed Agriculture Resolution Campaign,Awareness + Credit & Subsidy,"Interest-free loans up to ₹3 lakh, up to 80% subsidy on farm machinery via “Farm Machinery Bank”, ₹20/quintal wheat bonus, ₹20 sugarcane bonus, free canal irrigation, Rs 200 crore for polyhouses",Covers entire state via village outreach (The Times of India),Apply via District Agriculture Dept. offices / village-level campaigns.
Uttarakhand,Central Scheme Support Review (May 2025),Infrastructure & Credit Plan,"Support requested: ₹1,053 crore for wildlife fencing, ₹400 crore for 1,000 machinery banks, ₹1,150 crore for ultra-dense apple orchards; Kiwi, honey, mushroom centers",Pending central approval (The Times of India),Through Agriculture Dept. once approved (not yet open).
Uttarakhand,Core Supporting Schemes (Agri Dept.),Various,"Includes PM-KISAN, KCC, PMFBY, PMKSY, SMAM, Soil Health, AIF, Digital Agriculture, Organic Farming initiatives",Broad agricultural framework (Agriculture UK),Apply via agriculture.uk.gov.in and PM central portals.
Himachal Pradesh,Naturally-grown Produce Procurement,Market Support + DBT,"Procured wheat at ₹60/kg (₹1.27 Cr to 838 farmers), turmeric at ₹90/kg (₹1.14 Cr), maize last season (₹1.40 Cr); targeting barley; under “Him-Bhog” brand",Promotes organic produce via procurement & DBT (The Times of India),Register at local procurement centers / Agriculture Marketing Board.
Himachal Pradesh,Mechanization & Irrigation Schemes,Machinery & Water Infra,Farm mechanization subsidies; Flow Irrigation (Kuhls) renovation at 100% govt cost; Natural Farming (Prakritik Kheti Khushhal Yojana); Labour insurance (Accidents),Diverse state programs (HP Agriculture),Apply through HP Agriculture Dept. portal / local block agriculture offices.
Himachal Pradesh,Watershed Development & Carbon Credits,Sustainability & Climate,Mid-Himalayan Watershed Project registered under UNFCCC for carbon credits; pioneering environment resilience initiative,Climate-smart land management (Wikipedia),Implemented via Panchayats / watershed committees (not individual application).
Assam,Naturally-grown Produce Procurement,Market Support + DBT,"Procured wheat at ₹60/kg (₹1.27 Cr to 838 farmers), turmeric at ₹90/kg (₹1.14 Cr), maize last season (₹1.40 Cr); targeting barley; under “Him-Bhog” brand",Promotes organic produce via procurement & DBT (The Times of India),Register with Assam Agriculture Marketing Board / procurement centers (mandis).
Assam,Mechanization & Irrigation Schemes,Machinery & Water Infra,Farm mechanization subsidies; Flow Irrigation (Kuhls) renovation at 100% govt cost; Natural Farming (Prakritik Kheti Khushhal Yojana); Labour insurance (Accidents),Diverse state programs (HP Agriculture),Apply via Assam Agriculture Dept. / local block agriculture offices.
Assam,Watershed Development & Carbon Credits,Sustainability & Climate,Mid-Himalayan Watershed Project registered under UNFCCC for carbon credits; pioneering environment resilience initiative,Climate-smart land management (Wikipedia),Implemented via Panchayats / watershed committees (not direct farmer application).
Kerala,KCC & PACS via Kerala Bank,Credit Access,KCC for working capital up to ₹3 lakh; PACS refinancing up to ₹40 lakh for FPOs/asset creation. (Kerala Bank),Facilitates credit through cooperative banks.,Apply at Kerala Bank branches / Primary Agricultural Credit Societies (PACS).
Kerala,Kerala State Horticulture Mission,Producer Support,"End-to-end horticulture development including production, post-harvest management, processing & marketing. (Wikipedia)","State-run, centrally sponsored via NHM framework.",Apply through keralaagriculture.gov.in / District Horticulture Offices.
Kerala,FPO Promotion & Agro Processing Support,Value-Chain Incentive,Scheme to establish/strengthen 100 FPOs; assistance for MSME agro-processing units through SFAC Kerala. (sfackerala.org),Builds farmer collectives and processing capacity.,Apply via SFAC Kerala (sfackerala.org).
Kerala,Agricultural Info Access (“Krishi Info Hub”),Digital Extension,"Portal offering advisory, product marketplace, access to extension services and Krishi Karma Sena. (sfackerala.org)",Modernizes agricultural extension delivery.,Access online at krishi.kerala.gov.in (digital portal).
odisha,KALIA Scheme,Income + Credit Wealth,"₹25,000 over 5 seasons to cultivators; ₹12,500 to landless; ₹10,000/year to vulnerable households; ₹50,000 zero-interest crop loan; ₹2 lakh life insurance; scholarships. (Govt Schemes India)","Holistic welfare instrument encompassing equity, insurance, and education support.",Register/update details at kalia.odisha.gov.in or CSCs.
odisha,CM Kisan Yojana,State Income Support (DBT),"₹4,000/year to small/marginal farmers, ₹12,500 to landless households. Total benefit with PM-KISAN: ₹10,000. ₹2,020 crore allocated. (Govt Schemes India, The Times of India)",Reinforces central DBT with state-level supplements.,Auto DBT transfer; update bank & land records with Agriculture Dept.
odisha,PM-KISAN (Central),Income Support (DBT),"₹6,000/year to farmers; ~34.85 lakh beneficiaries received ₹697 crore recently. (The Times of India)",Widely implemented across Odisha.,pmkisan.gov.in / CSC / Agri Dept.
odisha,Samruddha Krushak Yojana,Input Assistance Incentive,"₹800 per quintal input support; ₹6,000 crore disbursed to 17 lakh farmers (Kharif); ₹1,600 crore to 3 lakh farmers (Rabi). (The Times of India)",Targets input affordability and crop diversity.,Apply via Odisha Agriculture Dept. / District Agriculture Office.
west bengal,Krishak Bandhu (New),Income Support (DBT + Security),"₹10,000/year for ≥1 acre; ₹4,000/year for small holdings; ₹2 lakh death benefit (18–60 yrs). ₹2,630 crore disbursed to 1.09 crore farmers in Kharif. (The Times of India, Wikipedia)",One of India’s largest state-level DBT schemes—includes social security.,Apply at krishakbandhu.net or Agriculture Dept. office.
west bengal,Bangla Shasya Bima Scheme,Crop Insurance (State),"Free crop insurance covering mid-season adversity, prevented sowing, harvest loss. Premium fully paid by state. (Govt Schemes India)",Provides risk coverage at zero cost to farmers.,Register via state crop insurance portal / Agriculture Dept.
west bengal,Amar Fasal Amar Gari Scheme,Market Support,"₹10,000 assistance for rickshaw/vending cart and 6 poly crates, enabling farm-to-market access. (Govt Schemes India)",Helps small/marginal farmers with post-harvest transport.,Apply through local Agriculture Dept. / Panchayat offices.
west bengal,Cooperative Credit & Infrastructure,Credit Ecosystem,"Capital grants and working capital support for PACS, marketing cooperatives, cold storages, machinery hubs, SHGs, etc. (Cooperation)",Strengthens cooperative network across agri-processing and credit delivery.,Apply via Cooperative Dept. / PACS / District Cooperative Bank.
west bengal,Crop Loan & Input Subsidy Programs,Credit & Subsidy,"Subsidized crop loans, input subsidies, insurance and risk protection via state’s agriculture support systems. (West Bengali)",Broad financial ecosystem supporting farming needs.,Apply via State Agriculture Dept. / Co-op banks.
bihar,Krishi Input Subsidy Scheme,Input Subsidy,"Financial assistance for seeds, fertilizers, pesticides during natural calamities like floods and pest attacks (AgriBot)",Helps mitigate losses from sudden shocks,Apply online at dbtagriculture.bihar.gov.in.
bihar,Kisan Credit Card (KCC),Credit Access,Provides timely and affordable crop and consumption credit to farmers (AgriBot),Reduces reliance on informal lending,Apply via banks / PACS under RBI/KCC scheme.
bihar,PMFBY,Crop Insurance (Central),Crop failure compensation; central scheme aimed at risk mitigation (AgriBot),Supports financial stability under losses,Register via pmfby.gov.in or CSCs.
bihar,Mukhyamantri Nischay Swayam Sahayata Bhatta,Youth Agri-Entrepreneurship,Aims to support unemployed rural youth via financial aid to initiate agri-businesses (AgriBot),Fosters new rural livelihoods,Apply via Bihar govt. portal 7nischay-yuva.bihar.gov.in.
bihar,Saur Krishi Pump Yojana,Sustainable Irrigation,Subsidizes solar irrigation pumps to encourage renewable energy in farming (AgriBot),Eco-friendly irrigation support,Apply at dbtagriculture.bihar.gov.in.
bihar,Soil Health Card Scheme,Input Optimization,Offers soil nutrient insights and advisory (central scheme rollout) (AgriBot),"Helps with precise, high-yield farming",Collect via state agriculture office / SHC portal.
bihar,Electricity Agricultural Feeders,Irrigation Power Supply,"2,274 dedicated agri feeders installed for fixed-time power to support irrigation (The Times of India)",Ensures reliable energy for farming,Auto-benefit (power supply) → no application needed.
bihar,Fishery Development Schemes,Allied Income Support,Boosted fish production via wetland & reservoir development; aid to entrepreneurs like hatcheries (The Times of India),Tripled production and increased fisher incomes,Apply via Bihar Fisheries Dept. / District Fisheries Offices.
bihar,Dairy Infrastructure Funding,Allied Sector Investment,₹316 crore approved for dairy plants & milk processing units across districts under Comfed (The Times of India),Advances cooperative dairy infrastructure,Apply via COMFED / Animal Husbandry Dept.
Jharkhand,PM-KISAN (Central),Income Support (DBT),"₹6,000/year to eligible landholding farmers; ~19.97 lakh beneficiaries in 18th installment (Wikipedia)",Robust direct farm income support,pmkisan.gov.in / CSCs.
Jharkhand,Interest-Free Farm Loan Scheme,Credit Access,0% interest for first-year loans; govt pays interest; includes 50% subsidy for dairy farmers (Rajan Chaudhary),Affordable credit for diverse needs,Apply via Jharkhand Agriculture Dept. / Co-op banks.
Jharkhand,Meethi Kranti Yojana (Beekeeping),Allied Income Support,Free training and ₹1 lakh unit (₹80k grant + ₹20k farmer share); potential to earn ₹1.3 lakh/year (Rajan Chaudhary),Encourages agri-diversification & extra income,Apply via District Agriculture Office / Training centers.
Jharkhand,Youth in Agriculture (ARYA) Scheme,Skill + Inclusion,"Trains two youths per village in modern agri methods, soil health cards, KCC enrollment, insurance (Rajan Chaudhary)",Empowers youth as changemakers in rural agri,Register via District Agriculture Office / KVKs.
Jharkhand,KCC Digitization & Expansion,Credit Access,Digital KCC enrollment and agro-infrastructure financing via farmer portal (KCC Jharkhand),Smoothens credit access and tech penetration,Apply on KCC Jharkhand portal / co-op banks.
