crop_name,days,stage,irrigation,irrigation_type,fertilizer_type,fertilizer_dosage,diseases,control_action,labour,notes
cucumber,75,fruiting,yes,drip/furrow,Potassium-rich feed,MOP 20–25 kg/ha,Fruit fly,Use pheromone traps,3,Harvest every 2 days when fruits are tender and green
sorghum,110,sowing,no,rainfed,Basal (FYM + NPK),FYM 10 t/ha + 40:20:20 NPK,-,-,2,Suitable for drylands; sow directly with seed drill
sorghum,110,vegetative,yes,furrow/drip,Nitrogen (top dressing),Urea 20–30 kg/ha,Leaf spot,Fungicide spray,3,Weed control is important in first 30 days
sorghum,110,flowering,yes,furrow/drip,"Micronutrients (Zn, Fe)",Foliar spray,Stem borer,Neem oil/insecticide,3,Water stress during flowering reduces yield
sorghum,110,maturity,no,rainfed,-,-,Ergot,Spray fungicide before flowering,2,Harvest when panicles turn brown and grains harden
pearl millet,90,sowing,no,rainfed,Basal (FYM + NPK),FYM 10t/ha + 40:20:20 NPK,-,-,2,Direct seeded; thrives in arid/dry regions
pearl millet,90,vegetative,yes,furrow/drip,Nitrogen (top dressing),Urea 20–25 kg/ha,Downy mildew,Fungicide or resistant varieties,3,Early weed control essential for good growth
pearl millet,90,flowering,yes,furrow/drip,"Micronutrients (Zn, B)",Foliar spray,"Smut, rust",Seed treatment + fungicide,3,Critical stage for water and nutrient management
pearl millet,90,maturity,no,rainfed,-,-,Ergot,Spray fungicide at booting stage,2,Harvest when panicles turn brown and grains are hard
peas,90,sowing,yes,furrow/drip,Basal (FYM + DAP),FYM 10t/ha + DAP 20 kg/ha,-,-,2,Winter season crop; sow directly in rows
peas,90,vegetative,yes,furrow/drip,Nitrogen (light dose),Urea 15kg/ha,Powdery mildew,Sulphur-based fungicide,3,Provide trellising for vine support if needed
peas,90,flowering,yes,furrow/drip,"Micronutrients (B, Zn)",Foliar spray,Rust,Neem oil or fungicide spray,3,Avoid water stress; crucial for pod formation
peas,90,maturity,no,rainfed,-,-,Wilt,"Crop rotation, healthy seeds",2,"Harvest when pods are green, full, and tender"
banana,450,planting,yes,drip/basin,Basal (FYM + NPK),FYM 40–50 kg/plant + 200:60:200 g NPK,-,-,4–5,Plant suckers or tissue culture plants; spacing 1.5x1.5 m
banana,450,vegetative,yes,drip/basin,Nitrogen (top dressing),Urea 1000 g/plant/month,"Leaf spot, Sigatoka","Remove affected leaves, fungicide",4–5,Desuckering and propping needed for healthy growth
banana,450,flowering,yes,drip/basin,"Micronutrients (Zn, B)",Foliar spray as per label,Panama wilt,"Use resistant varieties, fungicide",4–5,Critical stage; support plants with bamboo or ropes
banana,450,fruiting,yes,drip/basin,Potassium-rich feed,MOP 1000 g/plant,Fruit rot,Proper drainage + fungicide,4–5,Harvest 100–120 days after flowering when fingers are filled
papaya,300,planting,yes,basin/drip,Basal (FYM + NPK),FYM 20–25 kg/plant + 250:200:250 g NPK,-,-,3,Plant during monsoon or early summer; spacing 1.8 x 1.8 m
papaya,300,vegetative,yes,basin/drip,Nitrogen + micronutrients,Urea 100 g/plant/month + Zn/B,Root rot,Soil drenching with fungicide,3,Remove side shoots; weed regularly
papaya,300,flowering,yes,basin/drip,Boron + Potassium,Foliar spray + MOP 100 g/plant,Powdery mildew,Sulphur-based fungicide,3,Proper drainage is essential; avoid water stagnation
papaya,300,fruiting,yes,basin/drip,Organic + micronutrients,Compost + foliar mix as per label,Papaya ring spot virus,"Rogue infected plants, control aphids",3,Harvest fruits when skin starts yellowing; avoid fruit drop
garlic,150,sowing,yes,furrow/drip,Basal (FYM + NPK),FYM 15t/ha + 60:40:40 NPK,-,-,2,Use well-formed cloves for sowing; sow in raised beds or ridges
garlic,150,vegetative,yes,furrow/drip,Nitrogen (top dressing),Urea 30–40 kg/ha,Leaf spot,Fungicide spray,3,Regular weeding and loosening of soil important
garlic,150,bulb forming,yes,furrow/drip,"Micronutrients (Zn, S)",Foliar spray + gypsum,Downy mildew,Sulphur-based fungicide,3,Avoid excess moisture to prevent bulb rot
garlic,150,maturity,no,rainfed,-,-,White rot,"Crop rotation, soil treatment",2,Harvest when 50% leaves dry; cure bulbs in shade before storage
potato,120,sowing,yes,furrow/sprinkler,Basal (FYM + NPK),FYM 20–25 t/ha + 120:60:60 NPK,-,-,3,"Use certified seed tubers, well-sprouted, and disease-free"
potato,120,vegetative,yes,furrow/sprinkler,Nitrogen (top dressing),Urea 40–60 kg/ha after 30 DAP,Early blight,Mancozeb spray,4–5,Earth up after 25–30 days to support tuber development
potato,120,tuber bulking,yes,furrow/drip,Potash + Micronutrients,MOP 60 kg/ha + Zn & B foliar,Late blight,Metalaxyl + Mancozeb,4–5,Maintain moderate soil moisture to avoid cracks/rot
potato,120,maturity,no,rainfed,-,-,Bacterial wilt,"Crop rotation, field hygiene",2,Stop irrigation 10 days before harvest for curing of tubers
sugarcane,360,germination,yes,furrow irrigation,"NPK (Nitrogen, Phosphorus, Potassium)","250 kg N, 100 kg P₂O₅, 100 kg K₂O per acre","Red rot, Smut, Grassy shoot","Use resistant varieties, fungicide sprays (Carbendazim), uproot infected plants",25,"Germination requires fine seedbed, trash mulching helps moisture"
sugarcane,360,tillering,yes,furrow irrigation,Nitrogen (top dressing),100 kg N additional during tillering,"Shoot borer, Termites","Chlorpyrifos spray, soil application of insecticide",30,Requires earthing up and weed management
sugarcane,360,grand growth,yes,furrow irrigation,Potassium (boost growth),50 kg K₂O during this stage,"Leaf spot, Wilt","Copper-based fungicides, proper drainage",35,High water demand; critical growth stage
sugarcane,360,maturity,yes,furrow irrigation,Fertilizer stopped,No further application,Minor if properly managed,"Field sanitation, stop irrigation 15 days before harvest",20,Timely harvesting improves sugar recovery
pigeon pea,180,germination,no,rainfed,Starter NPK dose,"20 kg N, 50 kg P₂O₅ per acre","Seed rot, Damping off",Use fungicide-treated seeds (Carbendazim/Thiram),12,"Requires well-drained soil, sow before onset of monsoon"
pigeon pea,180,vegetative,no,rainfed,Nitrogen (light top dressing),15 kg N if growth is poor,"Leaf spot, Wilt","Use resistant varieties, copper fungicides",18,Weed control essential; earthing up may help
pigeon pea,180,flowering,no,rainfed,Micronutrients (optional),Foliar spray of 1% boron/zinc sulphate,Sterility mosaic virus (SMV),"Insect vector control, remove infected plants",20,This is yield-determining stage; avoid stress
pigeon pea,180,maturity,no,rainfed,No further application,-,Pod borer,Neem-based sprays or safe insecticides,15,Harvest when 75–80% pods turn brown
barley,120,germination,yes,flood irrigation,NPK (Basal dose),"40 kg N, 20 kg P₂O₅ per acre","Seed rot, Damping off",Use certified fungicide-treated seeds (Carbendazim/Thiram),10,Prefer cool season; well-drained loamy soil ideal
barley,120,tillering,yes,flood irrigation,Nitrogen (top dressing),20 kg N after 25–30 days,"Leaf rust, Powdery mildew",Apply Mancozeb or Sulphur-based fungicides,15,Weed management is important during this stage
barley,120,booting,yes,flood irrigation,Micronutrients (optional),Foliar spray of 1% zinc sulphate,Stripe rust,Spray Propiconazole at early symptom stage,15,"Maintain moisture, avoid water stress"
barley,120,maturity,no,-,No further application,-,Loose smut,"Uproot infected plants, use resistant varieties",12,"Harvest when spikes turn golden-yellow, thresh immediately"
chili pepper,150,germination,yes,drip/furrow,NPK (Basal dose),"40 kg N, 30 kg P₂O₅, 20 kg K₂O per acre","Seed rot, Damping off","Use fungicide-treated seeds (Thiram, Captan); ensure well-drained beds",12,Raised nursery beds preferred; transplant 30-35 days after sowing
chili pepper,150,vegetative,yes,drip/furrow,Nitrogen (top dressing),20–25 kg N per acre in two splits,"Leaf curl virus, Wilt",Control whiteflies/aphids with neem oil or Imidacloprid,20,"Stake plants if needed, weed regularly"
chili pepper,150,flowering,yes,drip/furrow,Micronutrients + Potassium,Foliar spray of Boron + 30 kg K₂O per acre,"Anthracnose, Powdery mildew",Spray Mancozeb or Sulphur-based fungicides,25,"Avoid water stress, maintain good air circulation"
chili pepper,150,fruiting,yes,drip/furrow,Nitrogen and Potassium,Light application of 15 kg N + 20 kg K₂O,"Fruit rot, Mites","Remove affected fruits, spray appropriate insecticide/fungicide",30,"Harvest at color change stage, repeated harvesting every 7days"
chili pepper,150,maturity,yes,drip/furrow,Stop fertilizer,No further application,Storage rot,Dry fruits in sun before storing,15,Final harvest should be done when pods fully mature and red
coconut,2191,nursery,yes,manual watering,Organic + NPK starter dose,"50 g N, 40 g P, 60 g K per plant (nursery)",Seedling wilt,"Use healthy seednuts, provide drainage",25,Seedlings raised for 9months before field planting
coconut,2191,juvenile (1–3 yrs),yes,basin/flood/drip,FYM + NPK + micronutrients,"20–30 kg FYM + 100 g N, 40 g P, 60 g K per tree/year","Stem bleeding, Bud rot","Trichoderma, Copper oxychloride paste",40,"Regular irrigation, weeding and basin formation essential"
coconut,2191,pre-bearing (4–6 yrs),yes,basin/drip,FYM + NPK full dose,"50 kg FYM + 500 g N, 320 g P, 1200 g K per tree/year","Leaf rot, Ganoderma wilt","Remove infected fronds, apply Bordeaux paste",60,Mulching and moisture conservation practices helpful
coconut,2191,bearing (7+ yrs),yes,basin/drip,FYM + full NPK + micronutrients,"50 kg FYM + 500 g N, 320 g P, 1200 g K per tree/year + Zn/B","Rhinoceros beetle, Red palm weevil","Neem cake, pheromone traps, clean crown frequently",75,Harvest every 45–60 days; production continues year-round
coconut,2191,maturity (annual cycle),yes,basin/drip,Maintenance dose of fertilizers,Same as bearing stage,"Button shedding, Nut fall","Boron spray, avoid water stress",60,Sustainable yield requires regular nutrition and pest management
guava,730,nursery,yes,drip/flood,NPK + FYM,"100 g N, 50 g P, 100 g K per plant + 10 kg FYM/year","Wilt, Anthracnose",Use disease-free seedlings; Copper oxychloride sprays,20,Nursery phase 8months before transplant
guava,730,vegetative,yes,drip/flood,NPK + micronutrients,"150:100:150 kg N:P₂O₅:K₂O per acre/year + Zn, B foliar","Fruit fly, Scab",Bagging fruits; Insect traps; Neem oil spray,40,Regular pruning and weed control important
guava,730,flowering,yes,drip/flood,Foliar sprays (micronutrients),Boron and Zinc sprays at flowering and fruit set,"Anthracnose, Leaf spot",Fungicidal sprays; good sanitation,30,Ensure good water supply to avoid flower drop
guava,730,fruit development,yes,drip/flood,Balanced fertilization,Additional potassium application (50 kg K₂O per acre),"Fruit rot, Wilt",Remove infected fruits; apply suitable fungicides,35,Harvest at maturity; 2 pickings per season
guava,730,maturity,yes,drip/flood,Maintenance fertilization,"Light fertilizer dose, FYM application",Storage rot,Proper harvesting and post-harvest handling,25,Maintain orchard hygiene and pest management year-round
cashew,1095,nursery,yes,drip/flood,NPK + FYM,"100 g N, 50 g P, 100 g K per plant + 10 kg FYM/year",Seedling wilt,Use disease-free seedlings; proper drainage,20,Nursery phase lasts about 8months before planting
cashew,1095,vegetative,no,rainfed/limited,NPK + micronutrients,100:50:100 kg N:P₂O₅:K₂O per acre/year + Zn foliar,"Powdery mildew, Leaf spot","Fungicidal sprays (Sulphur, Mancozeb); pruning infected parts",30,Cashew tolerates some drought; mulching helps moisture retention
cashew,1095,flowering,no,rainfed/limited,Foliar micronutrients,Boron and Zinc foliar sprays at flowering,Flower blight,Good orchard sanitation; remove affected flowers,25,Flowering influenced by dry season
cashew,1095,fruit development,no,rainfed/limited,Balanced fertilization,Additional potassium and FYM application,Nut and leaf fall diseases,Remove diseased nuts; apply recommended fungicides,30,Harvest annually; nut yield improves with proper nutrition
cashew,1095,maturity,no,rainfed/limited,Maintenance fertilization,Light fertilizer dose and FYM,Storage pests,Proper harvesting and post-harvest handling,20,Regular monitoring for pests and diseases is essential
kinnow,1461,nursery,yes,drip/flood,NPK + FYM,"100 g N, 50 g P, 100 g K per plant + 10 kg FYM/year","Root rot, Collar rot",Use disease-free grafts; good drainage,20,Nursery phase 8months before field planting
kinnow,1461,vegetative,yes,drip/flood,Balanced NPK + micronutrients,"150:100:150 kg N:P₂O₅:K₂O per acre/year + Zn, B foliar","Citrus canker, Leaf miner",Copper fungicides; insecticide sprays,35,Pruning and weed control important
kinnow,1461,flowering,yes,drip/flood,Foliar sprays (micronutrients),Boron and Zinc sprays at flowering and fruit set,"Citrus greening, Anthracnose",Regular monitoring; remove infected parts,30,Proper irrigation avoids flower drop
kinnow,1461,fruit development,yes,drip/flood,Potassium-rich fertilizers,Additional 50 kg K₂O per acre,"Fruit drop, Mites",Use miticides; balanced nutrition,30,Harvest when fruits reach maturity; multiple pickings possible
kinnow,1461,maturity,yes,drip/flood,Maintenance fertilization,Light fertilizer dose + FYM,Post-harvest diseases,Proper harvesting and handling,25,Maintain orchard hygiene year-round
mango,2556,nursery,yes,drip/flood,NPK + FYM,"100 g N, 50 g P, 100 g K per plant + 10 kg FYM/year",Seedling wilt,Use disease-free seedlings; proper drainage,20,Nursery phase lasts 8months before transplant
mango,2556,vegetative,yes,drip/flood,Balanced NPK + micronutrients,"150:100:150 kg N:P₂O₅:K₂O per acre/year + Zn, B foliar","Powdery mildew, Anthracnose",Fungicidal sprays; pruning infected branches,40,Regular pruning and weed control important
mango,2556,flowering,yes,drip/flood,Foliar sprays (micronutrients),Boron and Zinc sprays at flowering and fruit set,"Mango malformation, Flower blight",Remove infected flowers; apply copper fungicides,30,Proper irrigation avoids flower drop
mango,2556,fruit development,yes,drip/flood,Potassium-rich fertilizers,Additional 50 kg K₂O per acre,"Fruit rot, Sooty mold",Fungicide sprays; remove infected fruits,35,Harvest when fruits mature; multiple pickings possible
mango,2556,maturity,yes,drip/flood,Maintenance fertilization,Light fertilizer dose + FYM,Storage pests,Proper harvesting and post-harvest handling,25,Maintain orchard hygiene and pest management year-round
turmeric,270,planting,yes,furrow/ basin,NPK + FYM,"60 kg N, 40 kg P₂O₅, 60 kg K₂O + 10 tons FYM per acre","Rhizome rot, Leaf spot",Use disease-free rhizomes; treat with fungicide before planting,20,Plant rhizomes in well-drained soil
turmeric,270,vegetative,yes,furrow/ basin,Nitrogen top dressing,30 kg N per acre in split doses,"Leaf blotch, Rhizome rot",Regular irrigation; fungicide spray if needed,25,Maintain soil moisture; weed control important
turmeric,270,flowering,yes,furrow/ basin,Potassium and micronutrients,Foliar spray of K and Zn,Leaf spot,Fungicide sprays; maintain good field sanitation,15,Flowering stage is short; focus on plant health
turmeric,270,maturity,no,-,No fertilizer,-,None major,Harvest when leaves turn yellow and dry,30,Harvest carefully to avoid rhizome damage
castor,150,sowing,no,rainfed,NPK + FYM,"40 kg N, 30 kg P₂O₅, 40 kg K₂O + 5 tons FYM per acre","Leaf spot, Blight",Use certified seeds; spray fungicides (Mancozeb),15,Castor is drought tolerant but benefits from light irrigation
castor,150,vegetative,no,rainfed,Nitrogen top dressing,20 kg N per acre,"Root rot, Leaf blight",Balanced nutrition; fungicide sprays,20,Weed control is important
castor,150,flowering,no,rainfed,Potassium and micronutrients,Foliar spray of K and Zn,"Rust, Leaf spot",Spray recommended fungicides; remove infected leaves,25,Flowering stage critical for yield
castor,150,maturity,no,rainfed,No fertilizer,-,Capsule borer,Timely harvest; pest monitoring,20,Harvest pods when they turn brown
green bean,60,sowing,yes,drip/furrow,NPK + FYM,"40 kg N, 30 kg P₂O₅, 40 kg K₂O + 5 tons FYM per acre","Anthracnose, Root rot",Use certified seeds; seed treatment with fungicide (Thiram),12,Requires well-drained soil; keep soil moist
green bean,60,vegetative,yes,drip/furrow,Nitrogen top dressing,20 kg N per acre,"Powdery mildew, Leaf spot",Spray Mancozeb or Sulphur fungicide,15,Weed control and staking recommended
green bean,60,flowering,yes,drip/furrow,Micronutrients + Potassium,Foliar spray of Boron and Potassium,"Rust, Aphids",Use neem oil sprays; insecticide if needed,18,Flowering to pod set is critical stage
green bean,60,maturity,yes,drip/furrow,No fertilizer,-,Pod borer,Timely harvest; remove infested pods,20,Harvest pods when young and tender
tobacco,120,nursery,yes,drip/furrow,NPK + FYM,"50 kg N, 30 kg P₂O₅, 40 kg K₂O + 5 tons FYM per acre","Damping off, Black shank",Use treated seeds; seedbed sanitation; fungicide application,18,Seedlings raised 6–8 weeks before transplanting
tobacco,120,transplanting,yes,drip/furrow,Balanced NPK,"80 kg N, 40 kg P₂O₅, 60 kg K₂O per acre in split doses","Tobacco mosaic virus, Leaf curl",Use resistant varieties; remove infected plants,20,Transplant carefully to avoid root damage
tobacco,120,vegetative,yes,drip/furrow,Nitrogen top dressing,40 kg N per acre in split doses,"Leaf spot, Root rot",Fungicide and insecticide sprays,25,Weed control and moisture management important
tobacco,120,maturity,yes,drip/furrow,Maintenance fertilization,Light dose of balanced fertilizer,"Blue mold, Aphids",Regular monitoring; use insecticides as needed,22,Harvest leaves in multiple pickings as they mature
rajma,120,sowing,yes,drip/furrow,NPK + FYM,"40 kg N, 30 kg P₂O₅, 40 kg K₂O + 5 tons FYM per acre","Anthracnose, Root rot",Use certified seeds; seed treatment with fungicide (Thiram),15,Requires well-drained soil; keep soil moist
rajma,120,vegetative,yes,drip/furrow,Nitrogen top dressing,20 kg N per acre,"Powdery mildew, Leaf spot",Spray Mancozeb or Sulphur fungicide,18,Weed control and staking recommended
rajma,120,flowering,yes,drip/furrow,Micronutrients + Potassium,Foliar spray of Boron and Potassium,"Rust, Aphids",Use neem oil sprays; insecticide if needed,20,Flowering to pod set is critical stage
rajma,120,maturity,yes,drip/furrow,No fertilizer,-,Pod borer,Timely harvest; remove infested pods,22,Harvest pods when mature and dry
black-eyed pea,90,sowing,yes,drip/furrow,NPK + FYM,"30 kg N, 20 kg P₂O₅, 20 kg K₂O + 3 tons FYM per acre","Powdery mildew, Root rot",Use treated seeds; fungicide seed treatment (Thiram),12,Prefers well-drained sandy loam soil
black-eyed pea,90,vegetative,yes,drip/furrow,Nitrogen top dressing,15 kg N per acre,"Leaf spot, Rust",Fungicide sprays (Mancozeb); regular weed control,15,Weed control and pest management important
black-eyed pea,90,flowering,yes,drip/furrow,Micronutrients + Potassium,Foliar spray of Boron and Potassium,"Aphids, Pod borer",Neem oil sprays; insecticide if required,18,Flowering to pod set is critical phase
black-eyed pea,90,maturity,yes,drip/furrow,No fertilizer,—,Pod borer,Timely harvest; remove infested pods,20,Harvest pods when mature and dry
lemon,1095,nursery,yes,drip/flood,NPK + FYM,"100 g N, 50 g P, 100 g K per plant + 10 kg FYM/year","Root rot, Leaf spot",Use disease-free grafts; well-drained nursery beds,20,Nursery lasts about 8months before transplant
lemon,1095,vegetative,yes,drip/flood,Balanced NPK + micronutrients,"150:100:150 kg N:P₂O₅:K₂O per acre/year + Zn, B foliar","Citrus canker, Leaf miner",Copper fungicide sprays; insecticide applications,40,Pruning and weed control important
lemon,1095,flowering,yes,drip/flood,Foliar sprays (micronutrients),Boron and Zinc sprays at flowering and fruit set,"Citrus greening, Anthracnose",Remove infected parts; fungicide sprays,30,Avoid water stress during flowering
lemon,1095,fruit development,yes,drip/flood,Potassium-rich fertilizers,Additional 50 kg K₂O per acre,"Fruit drop, Mites",Use miticides; maintain balanced nutrition,30,Harvest when fruits mature; multiple pickings possible
lemon,1095,maturity,yes,drip/flood,Maintenance fertilization,Light fertilizer dose + FYM,Post-harvest diseases,Proper harvesting and post-harvest handling,25,Maintain orchard hygiene year-round
grapes,730,nursery,yes,drip/furrow,NPK + FYM,"100 g N, 50 g P, 100 g K per plant + 10 kg FYM/year","Phylloxera, Powdery mildew",Use certified disease-free grafts; nursery bed sanitation,25,Nursery phase lasts 8months before planting
grapes,730,vegetative,yes,drip/furrow,Balanced NPK + micronutrients,"150:100:150 kg N:P₂O₅:K₂O per acre/year + Zn, B foliar","Downy mildew, Black rot",Fungicide sprays; canopy management,40,Regular pruning and trellising essential
grapes,730,flowering,yes,drip/furrow,Foliar sprays (micronutrients),Boron and Zinc sprays at flowering and fruit set,"Powdery mildew, Botrytis",Fungicide application; good air circulation,30,Flowering critical for fruit set
grapes,730,fruit development,yes,drip/furrow,Potassium-rich fertilizers,Additional 50 kg K₂O per acre,"Fruit rot, Mites",Regular sprays; pest monitoring,35,Harvest when sugar content optimal; multiple pickings possible
grapes,730,maturity,yes,drip/furrow,Maintenance fertilization,Light fertilizer dose + FYM,Post-harvest diseases,Proper harvesting and storage,25,Maintain vineyard hygiene year-round
adzuki bean,90,sowing,yes,drip/furrow,NPK + FYM,"30 kg N, 20 kg P₂O₅, 20 kg K₂O + 3 tons FYM per acre","Powdery mildew, Root rot",Use treated seeds; fungicide seed treatment (Thiram),12,Prefers well-drained sandy loam soil
adzuki bean,90,vegetative,yes,drip/furrow,Nitrogen top dressing,15 kg N per acre,"Leaf spot, Rust",Fungicide sprays; regular weed control,15,Weed control and pest management important
adzuki bean,90,flowering,yes,drip/furrow,Micronutrients + Potassium,Foliar spray of Boron and Potassium,"Aphids, Pod borer",Neem oil sprays; insecticide if required,18,Flowering to pod set is critical phase
adzuki bean,90,maturity,yes,drip/furrow,No fertilizer,-,Pod borer,Timely harvest; remove infested pods,20,Harvest pods when mature and dry
betel leaf,210,nursery,yes,drip/flood,NPK + organic manure,"100 kg N, 50 kg P₂O₅, 100 kg K₂O + 10 tons FYM per acre/year","Leaf spot, Yellow mosaic",Use disease-free planting material; apply fungicides,30,Nursery stage lasts 3 months before transplanting
betel leaf,210,vegetative,yes,drip/flood,Balanced NPK + micronutrients,"150:100:150 kg N:P₂O₅:K₂O per acre/year + Zn, B foliar","Anthracnose, Powdery mildew",Fungicide sprays; maintain good shade and moisture levels,50,Requires partial shade and high humidity
betel leaf,210,harvesting,yes,drip/flood,Maintenance fertilization,Light doses of fertilizers + FYM,Leaf spot,Timely harvesting to avoid quality loss,40,Harvest leaves every 15days for continuous yield
carrot,90,sowing,yes,drip/furrow,NPK + FYM,"50 kg N, 40 kg P₂O₅, 50 kg K₂O + 5 tons FYM per acre","Alternaria leaf blight, Root rot",Use certified seeds; seed treatment with fungicides (Thiram),15,"Requires well-drained, loose soil; maintain soil moisture"
carrot,90,vegetative,yes,drip/furrow,Nitrogen top dressing,20 kg N per acre,"Powdery mildew, Leaf spot",Fungicide sprays as needed,18,Weed control and thinning important
carrot,90,flowering,no,—,No fertilizer,—,—,—,10,Flowering rare; mostly harvested before flowering
carrot,90,maturity,yes,drip/furrow,Balanced fertilization,Light fertilizer dose + FYM,Storage rot,Harvest carefully to avoid root damage,25,Harvest when roots reach marketable size
horse gram,90,sowing,no,rainfed,NPK + FYM,"30 kg N, 20 kg P₂O₅, 20 kg K₂O + 3 tons FYM per acre","Rust, Leaf spot",Use certified seeds; seed treatment with fungicides,12,Drought tolerant; grows well in poor soils
horse gram,90,vegetative,no,rainfed,Nitrogen top dressing,15 kg N per acre,"Powdery mildew, Root rot",Fungicide sprays; weed control,15,Weed management important
horse gram,90,flowering,no,rainfed,Micronutrients + Potassium,Foliar spray of Boron and Potassium,"Aphids, Pod borer",Neem oil sprays; insecticide if required,18,Flowering to pod set critical for yield
horse gram,90,maturity,no,rainfed,No fertilizer,-,Pod borer,Timely harvest; remove infested pods,20,Harvest pods when mature and dry
field bean,120,sowing,yes,surface irrigation,NPK + FYM,"20 kg N, 40 kg P₂O₅, 20 kg K₂O + 5 tons FYM per acre","Root rot, damping off",Use treated seeds; apply Trichoderma to soil,12,Requires good drainage and moderately fertile soil
field bean,120,vegetative,yes,surface irrigation,Nitrogen (top dressing),10 kg N per acre,"Leaf spot, rust",Spray Mancozeb or Chlorothalonil as needed,16,Install support/stakes if growing pole-type varieties
field bean,120,flowering,yes,surface irrigation,Micronutrient spray,Foliar spray of boron + potassium sulfate,"Aphids, pod borer",Neem oil or recommended insecticides,20,Flowering and pod setting stages are critical
field bean,120,maturity,yes,surface irrigation,No fertilizer,-,Powdery mildew,"Timely fungicide application, clean field post-harvest",18,Harvest when pods are fully mature; avoid pod shattering
coffee,1461,planting,yes,drip/sprinkler,FYM + basal NPK,10 kg FYM per plant + 40:30:40 kg NPK/acre,Root rot,Soil drenching with Trichoderma and well-drained raised beds,25,Shade trees essential; plant spacing 5x5 ft
coffee,1461,vegetative,yes,drip/sprinkler,NPK (split),Apply 30:20:30 kg NPK in two splits (pre & post monsoon),"Leaf rust, berry blotch",Spray Bordeaux mixture or copper oxychloride,35,Pruning and mulching improve plant growth
coffee,1461,flowering,yes,drip/sprinkler,Micronutrients + N,"Foliar spray of Zn, B, Mn + light N application",White stem borer,Bark scraping + Chlorpyrifos paste + shade regulation,30,"Flowering depends on summer rains (""blossom showers"")"
coffee,1461,berry development,yes,drip/sprinkler,Potash & calcium nitrate,20 kg Potash + 15 kg Calcium nitrate/acre,Coffee berry borer,Pheromone traps + Beauveria bassiana + timely harvest,40,Pick only ripe berries for quality; multiple harvest rounds required
coffee,1461,post-harvest,yes,depends (for nursery),No fertilizer,-,-,Dry beans properly; ferment and wash pulped beans carefully,45,"Curing involves drying, grading, polishing, and packing"
arecanut,2191,planting,yes,basin/drip,FYM + basal NPK,15 kg FYM + 100:40:140 g NPK per plant per year,Collar rot,"Good drainage, fungicide drenching (copper oxychloride)",20,Needs deep well-drained loamy soils with partial shade
arecanut,2191,vegetative,yes,basin/drip,NPK + micronutrients,"Split dose of 100:40:140 g NPK/year in 3 parts + Zn, B foliar sprays",Yellow leaf disease,"Boron and zinc application, improve drainage",30,Provide adequate mulch and weed control
arecanut,2191,flowering,yes,basin/drip,Potassium & boron boost,Additional 50g potassium & 20g boron per plant during flowering stage,Inflorescence dieback,Remove affected parts + copper oxychloride spray,35,Regular irrigation critical during spathe formation
arecanut,2191,nut development,yes,basin/drip,Nitrogen + potash,Light top dressing of 25g N + 50g K per plant,"Mites, spindle bug","Neem oil sprays, insecticides if needed",40,Timely spraying improves nut set and quality
arecanut,2191,post-harvest,yes,optional (nursery),Organic mulching preferred,Apply compost or green manure,-,Proper drying and curing of nuts,45,Dry nuts for 40–45 days; harvest generally done 5–6 years after planting
black pepper,1095,planting,yes,drip/basin,FYM + basal NPK,10 kg FYM + 50:50:50 g NPK per vine,Foot rot (Phytophthora),Good drainage + Bordeaux mixture drenching,25,Requires support tree or standard; partial shade is beneficial
black pepper,1095,vegetative,yes,drip/basin,NPK + micronutrients,"100:40:140 g NPK split in 2 doses + Zn, Mg foliar sprays",Quick wilt,Bordeaux paste + Trichoderma around base,30,Regular training of vines required
black pepper,1095,flowering,yes,drip/basin,Additional potassium & boron,Add 25g potassium + 10g boron per vine,Spike shedding,Maintain soil moisture + avoid excess nitrogen,35,Flowering begins 2 years after planting
black pepper,1095,berry development,yes,drip/basin,Foliar + soil NPK,Top dressing with NPK + foliar spray of micronutrients,Pollu beetle,Neem oil or quinalphos spray,40,Support trees must be trimmed during this stage
black pepper,1095,harvest,yes,light irrigation,Organic mulching,Use green leaf mulch or compost,Anthracnose,Copper oxychloride spray if needed,45,"Harvest 6–8 months after flowering, berries turn red"
Ginger,210,Land preparation & Sowing,Yes,Drip or Sprinkler,"Organic manure, FYM",20–25 tons/ha FYM,–,–,40,Raised beds preferred; soil should be well-drained and rich in organic matter
Ginger,210,Germination & Early Growth,Yes,Drip,NPK (Basal dose),25:20:20 kg/ha NPK,Rhizome rot (early onset),Apply Trichoderma to soil; ensure good drainage,30,Maintain moisture but avoid water stagnation
Ginger,210,Vegetative Growth,Yes,Drip or Sprinkler,NPK + Neem Cake,25:15:15 kg/ha NPK + 500 kg/ha Neem Cake,Leaf spot,Spray copper-based fungicides if symptoms appear,60,Earth up at 60 days; weed regularly
Ginger,210,Rhizome Development,Yes,Drip,NPK (Top dressing),25:15:15 kg/ha,Bacterial wilt,Remove affected plants; avoid waterlogging,80,Critical stage for yield; apply mulch to retain soil moisture
Ginger,210,Maturity & Harvesting,No,Rainfed / Natural,–,–,Harvest rot (if wet),Harvest in dry weather; cure rhizomes properly,40,Stop irrigation 2 weeks before harvest; clean and cure rhizomes for storage/marketing
Broccoli,100,Land Preparation & Sowing,Yes,Sprinkler/Drip,"FYM, Starter NPK",15tons/ha FYM + 50:40:40 kg/ha NPK,Damping off,Treat seeds with Trichoderma; proper drainage,30,Requires cool climate; soil should be well-drained loamy and fertile
